imagens misturadas
[13.0, 20.0, 20.0, 16.0, 15.0, 18.0, 22.0, 12.0, 7.0, 7.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 11.0, 11.0, 9.0, 9.0, 9.0, 11.0, 14.0, 17.0, 27.0, 35.0, 41.0, 48.0, 75.0, 85.0, 160.0]
[160.0, 49.0, 30.0, 24.0, 20.0, 18.0, 17.0, 16.0, 16.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 14.0, 15.0, 15.0, 16.0, 16.0, 18.0, 18.0, 18.0, 20.0, 23.0, 22.0, 23.0, 26.0, 30.0, 41.0, 64.0, 64.0]
[160.0, 55.0, 33.0, 23.0, 19.0, 17.0, 15.0, 16.0, 16.0, 17.0, 13.0, 12.0, 12.0, 11.0, 12.0, 11.0, 11.0, 11.0, 12.0, 13.0, 14.0, 16.0, 18.0, 20.0, 22.0, 25.0, 28.0, 28.0, 31.0, 31.0, 29.0, 45.0]
[160.0, 42.0, 29.0, 25.0, 22.0, 26.0, 25.0, 20.0, 16.0, 14.0, 14.0, 14.0, 14.0, 13.0, 14.0, 14.0, 14.0, 15.0, 16.0, 16.0, 17.0, 18.0, 20.0, 22.0, 24.0, 27.0, 30.0, 34.0, 38.0, 47.0, 58.0, 47.0]
[101.0, 102.0, 159.0, 140.0, 119.0, 106.0, 95.0, 93.0, 87.0, 74.0, 63.0, 63.0, 66.0, 67.0, 65.0, 63.0, 71.0, 74.0, 74.0, 82.0, 83.0, 83.0, 80.0, 77.0, 81.0, 96.0, 81.0, 85.0, 99.0, 134.0, 141.0, 160.0]
[37.0, 136.0, 109.0, 63.0, 37.0, 30.0, 28.0, 27.0, 27.0, 26.0, 26.0, 26.0, 27.0, 29.0, 31.0, 33.0, 36.0, 38.0, 40.0, 43.0, 49.0, 52.0, 56.0, 63.0, 66.0, 70.0, 73.0, 81.0, 90.0, 92.0, 87.0, 160.0]
[21.0, 21.0, 32.0, 35.0, 36.0, 34.0, 33.0, 30.0, 32.0, 29.0, 30.0, 31.0, 33.0, 34.0, 33.0, 28.0, 32.0, 34.0, 40.0, 41.0, 35.0, 38.0, 39.0, 41.0, 43.0, 47.0, 49.0, 53.0, 59.0, 66.0, 72.0, 160.0]
[12.0, 63.0, 96.0, 105.0, 84.0, 68.0, 85.0, 83.0, 79.0, 67.0, 66.0, 70.0, 69.0, 67.0, 72.0, 68.0, 66.0, 66.0, 69.0, 69.0, 71.0, 86.0, 96.0, 123.0, 160.0, 107.0, 109.0, 92.0, 68.0, 58.0, 54.0, 88.0]
[0.0, 0.0, 1.0, 3.0, 101.0, 40.0, 51.0, 54.0, 42.0, 34.0, 30.0, 29.0, 31.0, 29.0, 28.0, 27.0, 26.0, 26.0, 28.0, 28.0, 30.0, 33.0, 34.0, 37.0, 36.0, 38.0, 40.0, 40.0, 43.0, 49.0, 63.0, 160.0]
[160.0, 71.0, 53.0, 52.0, 52.0, 53.0, 58.0, 58.0, 63.0, 66.0, 81.0, 72.0, 59.0, 52.0, 48.0, 48.0, 42.0, 38.0, 36.0, 38.0, 44.0, 51.0, 40.0, 35.0, 35.0, 37.0, 38.0, 35.0, 32.0, 35.0, 36.0, 65.0]
[146.0, 106.0, 134.0, 160.0, 157.0, 142.0, 117.0, 104.0, 108.0, 105.0, 107.0, 112.0, 125.0, 129.0, 126.0, 125.0, 138.0, 139.0, 136.0, 138.0, 145.0, 159.0, 160.0, 146.0, 151.0, 154.0, 137.0, 122.0, 97.0, 82.0, 87.0, 130.0]
[20.0, 19.0, 20.0, 16.0, 16.0, 15.0, 14.0, 13.0, 12.0, 11.0, 11.0, 11.0, 12.0, 12.0, 13.0, 14.0, 14.0, 16.0, 18.0, 20.0, 23.0, 30.0, 35.0, 48.0, 62.0, 68.0, 64.0, 61.0, 64.0, 79.0, 124.0, 160.0]
[5.0, 6.0, 6.0, 8.0, 10.0, 11.0, 13.0, 14.0, 16.0, 17.0, 18.0, 19.0, 23.0, 32.0, 32.0, 26.0, 24.0, 26.0, 28.0, 32.0, 39.0, 43.0, 45.0, 47.0, 51.0, 56.0, 63.0, 70.0, 144.0, 160.0, 3.0, 1.0]
[1.0, 1.0, 2.0, 4.0, 5.0, 5.0, 5.0, 6.0, 7.0, 7.0, 8.0, 8.0, 9.0, 11.0, 12.0, 13.0, 14.0, 15.0, 15.0, 16.0, 17.0, 18.0, 22.0, 27.0, 42.0, 48.0, 51.0, 48.0, 46.0, 53.0, 100.0, 160.0]
[4.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 4.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0, 8.0, 8.0, 9.0, 9.0, 10.0, 10.0, 10.0, 11.0, 11.0, 12.0, 14.0, 16.0, 19.0, 26.0, 160.0]
